"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1962-Q4","Q4-1962","USD","US Dollar","6","Millions",,,28859.5,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1963-Q1","Q1-1963","USD","US Dollar","6","Millions",,,29658.5,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1963-Q2","Q2-1963","USD","US Dollar","6","Millions",,,29338,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1963-Q3","Q3-1963","USD","US Dollar","6","Millions",,,30631.5,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1963-Q4","Q4-1963","USD","US Dollar","6","Millions",,,31495.4,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1964-Q1","Q1-1964","USD","US Dollar","6","Millions",,,31587.8,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1964-Q2","Q2-1964","USD","US Dollar","6","Millions",,,32469.1,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1964-Q3","Q3-1964","USD","US Dollar","6","Millions",,,32825.5,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1964-Q4","Q4-1964","USD","US Dollar","6","Millions",,,33903.1,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1965-Q1","Q1-1965","USD","US Dollar","6","Millions",,,34359.5,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1965-Q2","Q2-1965","USD","US Dollar","6","Millions",,,35045.7,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1965-Q3","Q3-1965","USD","US Dollar","6","Millions",,,35089.6,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1965-Q4","Q4-1965","USD","US Dollar","6","Millions",,,35428.2,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1966-Q1","Q1-1966","USD","US Dollar","6","Millions",,,35558,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1966-Q2","Q2-1966","USD","US Dollar","6","Millions",,,36354.3,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1966-Q3","Q3-1966","USD","US Dollar","6","Millions",,,37782.5,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1966-Q4","Q4-1966","USD","US Dollar","6","Millions",,,38405.6,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1967-Q1","Q1-1967","USD","US Dollar","6","Millions",,,40014.4,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1967-Q2","Q2-1967","USD","US Dollar","6","Millions",,,40172,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1967-Q3","Q3-1967","USD","US Dollar","6","Millions",,,41231.3,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1967-Q4","Q4-1967","USD","US Dollar","6","Millions",,,42046.7,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1968-Q1","Q1-1968","USD","US Dollar","6","Millions",,,42211.2,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1968-Q2","Q2-1968","USD","US Dollar","6","Millions",,,44127,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1968-Q3","Q3-1968","USD","US Dollar","6","Millions",,,45191.1,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1968-Q4","Q4-1968","USD","US Dollar","6","Millions",,,47541.9,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1969-Q1","Q1-1969","USD","US Dollar","6","Millions",,,47769.8,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1969-Q2","Q2-1969","USD","US Dollar","6","Millions",,,49316.2,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1969-Q3","Q3-1969","USD","US Dollar","6","Millions",,,50877.6,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1969-Q4","Q4-1969","USD","US Dollar","6","Millions",,,52619.4,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1970-Q1","Q1-1970","USD","US Dollar","6","Millions",,,54371.1,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1970-Q2","Q2-1970","USD","US Dollar","6","Millions",,,56251.2,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1970-Q3","Q3-1970","USD","US Dollar","6","Millions",,,56576.3,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1970-Q4","Q4-1970","USD","US Dollar","6","Millions",,,57557.7,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1971-Q1","Q1-1971","USD","US Dollar","6","Millions",,,59200.3,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1971-Q2","Q2-1971","USD","US Dollar","6","Millions",,,60241.8,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1971-Q3","Q3-1971","USD","US Dollar","6","Millions",,,62703.4,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1971-Q4","Q4-1971","USD","US Dollar","6","Millions",,,62950.2,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1972-Q1","Q1-1972","USD","US Dollar","6","Millions",,,63245.4,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1972-Q2","Q2-1972","USD","US Dollar","6","Millions",,,65046.9,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1972-Q3","Q3-1972","USD","US Dollar","6","Millions",,,65261.2,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1972-Q4","Q4-1972","USD","US Dollar","6","Millions",,,66653.5,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1973-Q1","Q1-1973","USD","US Dollar","6","Millions",,,68967.5,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1973-Q2","Q2-1973","USD","US Dollar","6","Millions",,,70186.2,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1973-Q3","Q3-1973","USD","US Dollar","6","Millions",,,72291.9,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1973-Q4","Q4-1973","USD","US Dollar","6","Millions",,,75553.5,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1974-Q1","Q1-1974","USD","US Dollar","6","Millions",,,76937.1,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1974-Q2","Q2-1974","USD","US Dollar","6","Millions",,,77163.4,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1974-Q3","Q3-1974","USD","US Dollar","6","Millions",,,80537.2,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1974-Q4","Q4-1974","USD","US Dollar","6","Millions",,,83263.9,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1975-Q1","Q1-1975","USD","US Dollar","6","Millions",,,85451.4,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1975-Q2","Q2-1975","USD","US Dollar","6","Millions",,,89381.3,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1975-Q3","Q3-1975","USD","US Dollar","6","Millions",,,90127.9,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1975-Q4","Q4-1975","USD","US Dollar","6","Millions",,,90623.6,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1976-Q1","Q1-1976","USD","US Dollar","6","Millions",,,95093.1,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1976-Q2","Q2-1976","USD","US Dollar","6","Millions",,,96492.1,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1976-Q3","Q3-1976","USD","US Dollar","6","Millions",,,98524.5,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1976-Q4","Q4-1976","USD","US Dollar","6","Millions",,,101126.2,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1977-Q1","Q1-1977","USD","US Dollar","6","Millions",,,102349.2,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1977-Q2","Q2-1977","USD","US Dollar","6","Millions",,,105325.4,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1977-Q3","Q3-1977","USD","US Dollar","6","Millions",,,106238.5,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1977-Q4","Q4-1977","USD","US Dollar","6","Millions",,,108078.5,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1978-Q1","Q1-1978","USD","US Dollar","6","Millions",,,110619.6,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1978-Q2","Q2-1978","USD","US Dollar","6","Millions",,,113659.3,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1978-Q3","Q3-1978","USD","US Dollar","6","Millions",,,117285.3,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1978-Q4","Q4-1978","USD","US Dollar","6","Millions",,,120514,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1979-Q1","Q1-1979","USD","US Dollar","6","Millions",,,125952.4,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1979-Q2","Q2-1979","USD","US Dollar","6","Millions",,,126947,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1979-Q3","Q3-1979","USD","US Dollar","6","Millions",,,130859.3,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1979-Q4","Q4-1979","USD","US Dollar","6","Millions",,,135798.3,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1980-Q1","Q1-1980","USD","US Dollar","6","Millions",,,139199.1,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1980-Q2","Q2-1980","USD","US Dollar","6","Millions",,,142767.7,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1980-Q3","Q3-1980","USD","US Dollar","6","Millions",,,146893.2,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1980-Q4","Q4-1980","USD","US Dollar","6","Millions",,,153503,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1981-Q1","Q1-1981","USD","US Dollar","6","Millions",,,158076.7,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1981-Q2","Q2-1981","USD","US Dollar","6","Millions",,,163742.4,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1981-Q3","Q3-1981","USD","US Dollar","6","Millions",,,170361.1,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1981-Q4","Q4-1981","USD","US Dollar","6","Millions",,,172634,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1982-Q1","Q1-1982","USD","US Dollar","6","Millions",,,173390.9,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1982-Q2","Q2-1982","USD","US Dollar","6","Millions",,,177218.3,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1982-Q3","Q3-1982","USD","US Dollar","6","Millions",,,178369.5,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1982-Q4","Q4-1982","USD","US Dollar","6","Millions",,,177855,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1983-Q1","Q1-1983","USD","US Dollar","6","Millions",,,177712.5,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1983-Q2","Q2-1983","USD","US Dollar","6","Millions",,,178761.5,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1983-Q3","Q3-1983","USD","US Dollar","6","Millions",,,185990.2,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1983-Q4","Q4-1983","USD","US Dollar","6","Millions",,,190272.2,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1984-Q1","Q1-1984","USD","US Dollar","6","Millions",,,196703.3,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1984-Q2","Q2-1984","USD","US Dollar","6","Millions",,,200299.5,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1984-Q3","Q3-1984","USD","US Dollar","6","Millions",,,203392.7,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1984-Q4","Q4-1984","USD","US Dollar","6","Millions",,,206327.8,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1985-Q1","Q1-1985","USD","US Dollar","6","Millions",,,211856.9,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1985-Q2","Q2-1985","USD","US Dollar","6","Millions",,,218164.2,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1985-Q3","Q3-1985","USD","US Dollar","6","Millions",,,222298.6,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1985-Q4","Q4-1985","USD","US Dollar","6","Millions",,,223123.5,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1986-Q1","Q1-1986","USD","US Dollar","6","Millions",,,225311.6,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1986-Q2","Q2-1986","USD","US Dollar","6","Millions",,,225751.5,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1986-Q3","Q3-1986","USD","US Dollar","6","Millions",,,227189.5,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1986-Q4","Q4-1986","USD","US Dollar","6","Millions",,,232110,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1987-Q1","Q1-1987","USD","US Dollar","6","Millions",,,235661.4,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1987-Q2","Q2-1987","USD","US Dollar","6","Millions",,,241237.3,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1987-Q3","Q3-1987","USD","US Dollar","6","Millions",,,247525.7,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1987-Q4","Q4-1987","USD","US Dollar","6","Millions",,,254584.2,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1988-Q1","Q1-1988","USD","US Dollar","6","Millions",,,258746.1,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1988-Q2","Q2-1988","USD","US Dollar","6","Millions",,,261889.1,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1988-Q3","Q3-1988","USD","US Dollar","6","Millions",,,267429.7,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1988-Q4","Q4-1988","USD","US Dollar","6","Millions",,,273690.9,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1989-Q1","Q1-1989","USD","US Dollar","6","Millions",,,278833.3,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1989-Q2","Q2-1989","USD","US Dollar","6","Millions",,,287410.1,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1989-Q3","Q3-1989","USD","US Dollar","6","Millions",,,291797.9,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1989-Q4","Q4-1989","USD","US Dollar","6","Millions",,,293701.6,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1990-Q1","Q1-1990","USD","US Dollar","6","Millions",,,299539.6,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CPCARSA","US dollars, current prices, current PPPs, annual levels, seasonally adjusted","Q","Quarterly","1990-Q2","Q2-1990","USD","US Dollar","6","Millions",,,303660.1,,
